"session_id","client_id","clean_category","session_schedule_for","clean_location"
1,1,"Graduation Highlights","2024-07-16 11:30:00","Centennial Park"
2,2,"Graduation Highlights","2025-05-26 13:00:00","Cheekwood Estate & Gardens"
3,3,"Graduation Highlights","2024-02-15 15:30:00","Shelby Bottoms Greenway"
4,4,"Graduation Highlights","2024-08-14 11:30:00","The Parthenon (Centennial Park)"
5,5,"Graduation Highlights","2024-09-18 12:30:00","Sevier Park"
6,6,"Graduation Highlights","2025-10-22 17:30:00","Downtown Nashville Murals"
7,7,"Graduation Highlights","2024-12-19 16:00:00","Radnor Lake State Park"
8,8,"Wedding Deluxe","2024-06-11 07:15:00","Centennial Park"
9,9,"Wedding Deluxe","2025-03-22 18:45:00","Cheekwood Estate & Gardens"
10,10,"Engagement Session","2024-09-09 19:30:00","Shelby Bottoms Greenway"
11,11,"Engagement Session","2026-01-14 06:30:00","The Parthenon (Centennial Park)"
12,12,"Graduation Highlights","2024-05-05 14:00:00","Downtown Nashville Murals"
13,13,"Graduation Highlights","2025-08-19 17:45:00","Sevier Park"
14,14,"Newborn Bundle","2024-11-30 10:30:00","Radnor Lake State Park"
15,15,"Newborn Bundle","2026-02-21 09:15:00","Radnor Lake State Park"
16,16,"Portrait Session","2024-07-07 12:00:00","Centennial Park"
17,17,"Portrait Session","2025-04-01 13:30:00","Cheekwood Estate & Gardens"
18,18,"Headshot Pro","2024-12-12 16:45:00","Downtown Nashville Murals"
19,19,"Headshot Pro","2026-06-10 08:00:00","Sevier Park"
20,20,"Couples Collection","2025-10-10 18:00:00","Shelby Bottoms Greenway"
21,21,"Couples Collection","2024-03-17 07:30:00","The Parthenon (Centennial Park)"
22,22,"Maternity Memories","2025-01-25 11:45:00","Centennial Park"
23,23,"Maternity Memories","2024-08-08 15:00:00","Cheekwood Estate & Gardens"
24,24,"Wedding Deluxe","2026-09-19 19:15:00","Downtown Nashville Murals"
25,25,"Engagement Session","2024-04-04 06:45:00","Sevier Park"
26,26,"Graduation Highlights","2025-06-01 10:15:00","Centennial Park"
27,27,"Graduation Highlights","2024-09-12 14:30:00","Cheekwood Estate & Gardens"
28,28,"Graduation Highlights","2026-03-18 16:00:00","Shelby Bottoms Greenway"
29,29,"Wedding Deluxe","2025-08-22 18:45:00","Downtown Nashville Murals"
30,30,"Wedding Deluxe","2024-11-05 07:30:00","Sevier Park"
31,31,"Wedding Deluxe","2026-02-14 19:00:00","Centennial Park"
32,32,"Engagement Session","2025-04-09 06:45:00","Radnor Lake State Park"
33,33,"Engagement Session","2024-07-21 12:15:00","Cheekwood Estate & Gardens"
34,34,"Engagement Session","2026-10-10 17:30:00","Shelby Bottoms Greenway"
35,35,"Newborn Bundle","2025-01-11 09:30:00","Centennial Park"
36,36,"Newborn Bundle","2024-05-25 08:15:00","Sevier Park"
37,37,"Newborn Bundle","2026-06-30 11:00:00","Downtown Nashville Murals"
38,38,"Portrait Session","2025-03-03 13:45:00","Centennial Park"
39,39,"Portrait Session","2024-12-19 15:30:00","Radnor Lake State Park"
40,40,"Portrait Session","2026-09-09 18:00:00","Cheekwood Estate & Gardens"
41,41,"Headshot Pro","2025-02-02 10:00:00","Shelby Bottoms Greenway"
42,42,"Headshot Pro","2024-06-14 07:45:00","Centennial Park"
43,43,"Headshot Pro","2026-08-08 16:15:00","Downtown Nashville Murals"
44,44,"Couples Collection","2025-07-07 18:30:00","Sevier Park"
45,45,"Couples Collection","2024-10-10 17:00:00","Cheekwood Estate & Gardens"
46,46,"Couples Collection","2026-01-20 19:15:00","Centennial Park"
47,47,"Maternity Memories","2025-05-05 11:30:00","Radnor Lake State Park"
48,48,"Maternity Memories","2024-08-18 14:45:00","Shelby Bottoms Greenway"
49,49,"Maternity Memories","2026-04-04 09:00:00","Downtown Nashville Murals"
50,50,"Wedding Deluxe","2025-12-12 16:30:00","Centennial Park"
51,51,"Wedding Deluxe","2024-03-03 07:15:00","Centennial Park"
52,52,"Wedding Deluxe","2025-06-18 18:45:00","Cheekwood Estate & Gardens"
53,53,"Engagement Session","2026-01-01 06:30:00","Shelby Bottoms Greenway"
54,54,"Engagement Session","2024-09-09 12:00:00","Downtown Nashville Murals"
55,55,"Engagement Session","2025-02-14 19:15:00","Sevier Park"
56,56,"Graduation Highlights","2024-05-05 14:45:00","Centennial Park"
57,57,"Graduation Highlights","2026-07-07 17:00:00","Cheekwood Estate & Gardens"
58,58,"Graduation Highlights","2025-11-11 13:30:00","Shelby Bottoms Greenway"
59,59,"Newborn Bundle","2024-08-08 09:00:00","Radnor Lake State Park"
60,60,"Newborn Bundle","2026-04-04 10:30:00","Downtown Nashville Murals"
61,61,"Newborn Bundle","2025-01-20 08:45:00","Sevier Park"
62,62,"Portrait Session","2024-12-12 15:15:00","Centennial Park"
63,63,"Portrait Session","2026-03-03 16:45:00","Cheekwood Estate & Gardens"
64,64,"Portrait Session","2025-09-09 18:00:00","Shelby Bottoms Greenway"
65,65,"Headshot Pro","2024-06-06 07:30:00","Downtown Nashville Murals"
66,66,"Headshot Pro","2026-10-10 17:15:00","Sevier Park"
67,67,"Headshot Pro","2025-05-05 12:30:00","Centennial Park"
68,68,"Couples Collection","2024-02-20 18:15:00","Cheekwood Estate & Gardens"
69,69,"Couples Collection","2026-08-08 19:00:00","Shelby Bottoms Greenway"
70,70,"Couples Collection","2025-03-03 17:30:00","Downtown Nashville Murals"
71,71,"Maternity Memories","2024-07-07 11:15:00","Radnor Lake State Park"
72,72,"Maternity Memories","2026-02-02 10:45:00","Centennial Park"
73,73,"Maternity Memories","2025-06-06 13:00:00","Sevier Park"
74,74,"Wedding Deluxe","2024-09-09 14:15:00","Cheekwood Estate & Gardens"
75,75,"Wedding Deluxe","2026-01-15 18:30:00","Shelby Bottoms Greenway"
76,76,"Wedding Deluxe","2025-12-25 19:45:00","Downtown Nashville Murals"
77,77,"Engagement Session","2024-04-04 06:45:00","Sevier Park"
78,78,"Engagement Session","2026-06-06 07:15:00","Centennial Park"
79,79,"Engagement Session","2025-10-10 18:00:00","Cheekwood Estate & Gardens"
80,80,"Graduation Highlights","2024-11-11 12:45:00","Shelby Bottoms Greenway"
81,81,"Graduation Highlights","2026-03-03 15:30:00","Downtown Nashville Murals"
82,82,"Graduation Highlights","2025-08-08 14:00:00","Sevier Park"
83,83,"Newborn Bundle","2024-10-10 09:30:00","Radnor Lake State Park"
84,84,"Newborn Bundle","2026-01-01 08:15:00","Centennial Park"
85,85,"Newborn Bundle","2025-07-07 11:45:00","Cheekwood Estate & Gardens"
86,86,"Portrait Session","2024-07-21 17:30:00","Downtown Nashville Murals"
87,87,"Portrait Session","2026-09-09 16:15:00","Sevier Park"
88,88,"Portrait Session","2025-04-04 14:30:00","Shelby Bottoms Greenway"
89,89,"Headshot Pro","2024-02-14 07:45:00","Radnor Lake State Park"
90,90,"Headshot Pro","2026-05-05 08:30:00","Centennial Park"
91,91,"Headshot Pro","2025-01-15 12:30:00","Cheekwood Estate & Gardens"
92,92,"Couples Collection","2024-06-06 18:45:00","Downtown Nashville Murals"
93,93,"Couples Collection","2026-07-07 19:15:00","Sevier Park"
94,94,"Couples Collection","2025-09-09 18:30:00","Shelby Bottoms Greenway"
95,95,"Maternity Memories","2024-05-05 11:30:00","Radnor Lake State Park"
96,96,"Maternity Memories","2026-08-08 09:45:00","Centennial Park"
97,97,"Maternity Memories","2025-02-02 13:15:00","Cheekwood Estate & Gardens"
98,98,"Wedding Deluxe","2024-12-12 16:45:00","Downtown Nashville Murals"
99,99,"Wedding Deluxe","2026-10-10 18:15:00","Sevier Park"
100,100,"Wedding Deluxe","2025-11-11 16:30:00","Shelby Bottoms Greenway"
101,101,"Engagement Session","2024-06-18 10:00:00","Centennial Park"
102,102,"Engagement Session","2026-04-04 11:15:00","Cheekwood Estate & Gardens"
103,103,"Engagement Session","2025-03-03 17:00:00","Downtown Nashville Murals"
104,104,"Graduation Highlights","2024-09-29 13:15:00","Sevier Park"
105,105,"Graduation Highlights","2026-01-01 14:30:00","Shelby Bottoms Greenway"
106,106,"Graduation Highlights","2025-07-07 17:30:00","Centennial Park"
107,107,"Newborn Bundle","2024-10-20 08:30:00","Radnor Lake State Park"
108,108,"Newborn Bundle","2026-03-03 09:45:00","Cheekwood Estate & Gardens"
109,109,"Newborn Bundle","2025-05-05 10:30:00","Downtown Nashville Murals"
110,110,"Portrait Session","2024-11-01 15:15:00","Sevier Park"
111,111,"Portrait Session","2026-09-09 17:15:00","Shelby Bottoms Greenway"
112,112,"Portrait Session","2025-04-04 16:00:00","Centennial Park"
113,113,"Headshot Pro","2024-02-14 07:45:00","Radnor Lake State Park"
114,114,"Headshot Pro","2026-06-10 08:00:00","Cheekwood Estate & Gardens"
115,115,"Headshot Pro","2025-01-15 12:30:00","Downtown Nashville Murals"
116,116,"Couples Collection","2024-06-06 18:45:00","Sevier Park"
117,117,"Couples Collection","2026-07-07 18:30:00","Shelby Bottoms Greenway"
118,118,"Couples Collection","2025-09-09 18:30:00","Centennial Park"
119,119,"Maternity Memories","2024-05-05 11:30:00","Radnor Lake State Park"
120,120,"Maternity Memories","2026-08-08 13:30:00","Cheekwood Estate & Gardens"
121,121,"Maternity Memories","2025-02-02 11:45:00","Downtown Nashville Murals"
122,122,"Wedding Deluxe","2024-12-25 19:45:00","Sevier Park"
123,123,"Wedding Deluxe","2026-10-10 18:15:00","Shelby Bottoms Greenway"
124,124,"Wedding Deluxe","2025-11-11 16:30:00","Centennial Park"
125,125,"Engagement Session","2024-04-04 06:45:00","Radnor Lake State Park"
126,126,"Engagement Session","2026-06-06 06:30:00","Cheekwood Estate & Gardens"
127,127,"Engagement Session","2025-10-02 18:15:00","Downtown Nashville Murals"
128,128,"Graduation Highlights","2024-11-11 12:45:00","Sevier Park"
129,129,"Graduation Highlights","2026-03-03 15:30:00","Shelby Bottoms Greenway"
130,130,"Graduation Highlights","2025-08-08 14:00:00","Centennial Park"
131,131,"Newborn Bundle","2024-10-20 08:30:00","Radnor Lake State Park"
132,132,"Newborn Bundle","2026-04-04 09:00:00","Cheekwood Estate & Gardens"
133,133,"Newborn Bundle","2025-07-07 09:45:00","Downtown Nashville Murals"
134,134,"Portrait Session","2024-11-01 15:15:00","Sevier Park"
135,135,"Portrait Session","2026-09-09 17:15:00","Shelby Bottoms Greenway"
